Page113
Gender, race, age, count
male, white, under 5, 163289
Male, black, under 5, 84136
Male, "American Indian, eskimo or aleut", under 5, 498
Male, asian or Pacific Islander, under 5,  3248
Male, other, under 5, 2504

male, white, 5 to 9, 159622
Male, black, 5 to 9, 81885
Male, "American Indian, eskimo or aleut", 5 to 9, 480
Male, asian or Pacific Islander, 5 to 9,  3233
Male, other, 5 to 9,  1875

male, white, 10 to 14, 15344
Male, black, 10 to 14, 79444
Male, "American Indian, eskimo or aleut", 10 to 14, 518
Male, asian or Pacific Islander, 10 to 14,3029
Male, other, 10 to 14,1487

male, white, 15 to 19, 169080 
Male, black,  15 to 19,79481
Male, "American Indian, eskimo or aleut",  15 to 19,643
Male, asian or Pacific Islander,  15 to 19,3399
Male, other,  15 to 19,2599

male, white, 20 to 24, 181690
Male, black, 20 to 24,71730
Male, "American Indian, eskimo or aleut", 20 to 24,729
Male, asian or Pacific Islander, 20 to 24,3571
Male, other, 20 to 24,5098

male, white, 25 to 29, 207492
Male, black, 25 to 29, 77103
Male, "American Indian, eskimo or aleut", 25 to 29, 696
Male, asian or Pacific Islander, 25 to 29, 3970
Male, other, 25 to 29, 4244

male, white, 30 to 34, 206177
Male, black, 30 to 34, 73130
Male, "American Indian, eskimo or aleut", 30 to 34, 681
Male, asian or Pacific Islander, 30 to 34, 4168
Male, other, 30 to 34, 2951

male, white, 35 to 39, 189028
Male, black, 35 to 39, 64143
Male, "American Indian, eskimo or aleut", 35 to 39, 649
Male, asian or Pacific Islander, 35 to 39, 3459
Male, other, 35 to 39, 1839

male, white, 40 to 44, 180608
Male, black, 40 to 44, 50987
Male, "American Indian, eskimo or aleut", 40 to 44, 634
Male, asian or Pacific Islander, 40 to 44, 2823
Male, other, 40 to 44, 1111

male, white, 45 to 49, 145438
Male, black, 45 to 49, 35695
Male, "American Indian, eskimo or aleut", 45 to 49, 458
Male, asian or Pacific Islander, 45 to 49, 2058
Male, other, 45 to 49, 776

male, white, 50 to 54, 113296
Male, black, 50 to 54, 27524
Male, "American Indian, eskimo or aleut", 50 to 54, 328
Male, asian or Pacific Islander, 50 to 54, 1451
Male, other, 50 to 54, 471

male, white, 55 to 59, 100011
Male, black, 55 to 59, 22258
Male, "American Indian, eskimo or aleut", 55 to 59, 222
Male, asian or Pacific Islander, 55 to 59, 849
Male, other, 55 to 59, 297

male, white, 60 to 64, 89360
Male, black, 60 to 64, 19091
Male, "American Indian, eskimo or aleut",60 to 64, 176
